r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,id
52,72,96,32,120,137,123,83,1,25,True,7633873908
65,53,54,59,23,15,109,123,98,89,False,7632610953
55,19,66,49,10,47,40,59,96,18,True,7632665232
33,52,51,21,7,25,45,9,57,73,True,7632561153
86,85,10,49,120,69,13,26,109,79,True,7632476228
19,44,97,9,121,29,41,52,45,13,False,7632422575
19,13,92,18,65,40,63,74,53,88,False,7632341256
33,62,85,93,50,120,9,45,54,49,True,7630966292
78,72,13,40,54,63,123,129,83,74,True,7629450202
49,27,53,73,23,120,123,121,28,35,False,7629379572
41,57,14,109,26,10,136,23,36,53,False,7634097182
40,65,21,13,69,15,3,10,53,23,False,7634039490
78,45,126,65,54,74,63,129,20,40,True,7633989471
46,113,85,86,2,103,136,25,15,44,False,7633823298
90,5,45,63,98,59,72,28,19,85,False,7633758651
15,10,123,96,87,8,5,13,86,137,False,7633681865
70,79,74,129,83,41,109,49,121,29,True,7633634211
40,25,26,60,12,21,28,67,79,20,True,7632586538
43,20,100,120,44,40,53,17,73,129,False,7632508990
83,33,21,23,109,52,1,20,119,49,True,7632430662
83,22,1,137,19,21,40,88,98,93,True,7632362902
6,5,105,129,106,72,7,112,59,49,False,7632318320
51,135,25,26,94,72,121,53,69,23,False,7632232296
120,65,96,109,63,138,105,41,90,19,False,7632109751
72,19,123,69,136,52,109,58,94,96,True,7632048821
129,27,45,47,54,46,65,88,21,43,True,7630669384
94,45,86,49,21,46,5,53,95,129,False,7630588373
54,123,21,26,57,11,72,6,129,100,True,7634535249
126,63,105,28,26,1,5,129,106,14,True,7634489114
129,79,44,86,25,46,63,65,5,98,True,7634452841
137,84,105,12,23,48,21,26,7,100,False,7634426635
10,5,137,86,70,63,129,21,126,105,False,7634392538
44,74,106,37,129,59,53,5,41,16,False,7634362858
52,45,93,81,65,82,21,19,5,121,True,7633110703
80,65,48,123,14,52,30,93,107,71,False,7633073800
94,100,52,129,72,18,68,14,123,106,False,7631531455
18,79,21,59,129,17,95,45,112,62,False,7631509663
18,86,20,77,17,21,96,69,73,109,False,7631471601
137,120,45,41,105,4,53,90,96,109,False,7631450188
41,22,19,9,74,60,90,65,106,46,True,7631421049
25,53,78,98,1,29,20,69,49,10,True,7631404064
109,93,123,120,129,65,97,13,15,43,True,7631391873
90,86,72,41,57,13,138,109,23,83,True,7631370943
48,52,120,103,129,23,105,53,56,114,False,7631343738
72,27,98,63,57,28,102,14,109,49,False,7631307103
21,64,7,41,137,52,51,46,65,54,True,7631247526
93,86,49,65,61,28,9,95,123,13,True,7631224840
77,9,137,114,19,25,45,2,3,70,False,7631168266
49,9,29,41,72,71,21,61,105,60,False,7634632154
9,48,74,23,39,109,72,59,79,28,True,7634601596
54,21,2,53,61,89,23,19,105,104,False,7634561577
96,1,27,123,61,121,46,41,69,19,True,7631746496
53,138,57,19,61,109,18,39,36,31,False,7631413380
7,109,44,63,85,47,110,71,93,123,False,7631360575
44,9,106,19,65,109,10,29,39,85,False,7631343283
126,136,95,91,5,90,41,85,88,97,False,7631310793
96,47,109,27,44,29,8,22,19,9,False,7631261817
23,53,113,26,19,45,54,29,65,74,False,7629921691
1,109,11,100,31,20,86,78,126,54,True,7629830237
48,97,83,23,53,65,112,41,88,52,True,7629775169
5,57,90,95,17,44,25,60,100,109,False,7634280115
63,45,65,96,59,91,79,23,97,136,False,7634241936
15,112,5,19,138,91,48,98,86,52,True,7633645878
85,25,109,19,113,70,103,129,22,45,False,7633553850
89,62,45,52,65,91,27,13,49,15,False,7633238120
52,27,25,23,137,58,76,73,105,43,False,7633195958
25,20,28,21,109,9,65,13,19,48,True,7632710998
5,137,82,111,22,25,69,95,65,97,True,7632644042
103,75,25,23,73,44,39,50,109,28,True,7632569154
25,53,78,98,1,29,20,69,49,10,True,7631404064
21,5,19,61,38,103,123,114,97,52,False,7631353853
85,44,65,114,129,86,14,19,10,97,True,7629522240
65,66,93,29,17,103,1,129,109,90,False,7629490837
106,52,19,12,33,9,23,41,109,13,False,7629436534
45,129,15,72,39,65,96,52,18,126,False,7629393505
4,86,19,3,96,93,120,9,58,73,True,7634538909
17,83,48,69,26,9,126,18,65,57,False,7633677157
98,53,5,48,23,65,49,82,26,29,False,7633553732
25,26,41,121,120,73,106,75,109,18,True,7633429374
72,21,40,123,120,15,53,23,17,114,False,7632990275
18,5,90,129,14,104,45,26,52,46,False,7632398577
106,10,21,69,128,13,138,98,6,53,True,7632247857
137,123,21,86,44,2,17,26,19,67,True,7631688176
19,129,4,53,15,10,26,105,52,98,True,7631643651
28,103,53,76,93,123,95,58,106,97,False,7631557805
109,43,26,46,96,18,79,112,129,74,True,7631523307
109,89,86,77,73,23,79,52,78,51,False,7630782307
91,9,92,76,15,120,109,72,26,98,True,7630568234
69,65,107,54,90,39,123,43,93,26,True,7629841011
