r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,id
69,92,120,58,21,22,86,98,20,46,False,7614538483
73,69,20,112,21,90,13,40,96,82,True,7614508230
33,13,89,5,19,72,16,3,40,90,False,7614456586
15,69,58,86,12,29,45,65,105,41,True,7614417004
93,105,120,121,2,69,138,41,74,100,True,7614356416
29,39,89,9,83,33,69,95,109,106,False,7614291874
137,128,65,48,98,57,58,74,105,1,True,7614244485
10,90,5,98,71,93,19,13,43,9,False,7613984322
29,45,96,10,65,19,112,105,98,93,True,7613911540
13,49,72,86,10,78,126,33,53,48,True,7613835323
41,22,69,45,121,129,126,53,105,102,False,7613747245
129,10,88,39,9,114,14,53,43,49,False,7613640289
96,53,86,137,95,23,31,9,80,48,False,7613579980
129,20,106,9,44,41,45,19,98,90,False,7613518735
94,82,105,23,62,95,98,111,53,20,True,7614238459
52,87,28,53,72,44,23,73,103,86,True,7614201672
123,13,53,49,109,19,22,91,112,15,False,7614158150
13,109,65,20,63,9,114,29,57,74,True,7614113982
114,49,111,45,69,54,14,98,28,52,True,7614051749
57,20,109,96,65,49,40,120,69,21,True,7613989907
23,56,41,31,53,73,17,65,107,105,True,7613924292
10,21,105,85,69,43,109,97,15,19,True,7613851529
59,128,9,60,10,25,58,41,129,65,True,7614007821
98,66,26,94,90,136,99,86,17,15,False,7613594706
45,19,65,113,11,52,78,18,43,86,False,7613293940
97,66,17,20,114,69,120,48,129,19,True,7614495572
67,98,97,85,105,21,90,10,86,53,False,7614465041
114,21,71,69,66,84,5,94,9,49,False,7614422254
43,19,90,49,5,47,20,129,69,95,False,7614269273
8,19,32,83,53,13,2,67,72,123,True,7613778614
89,48,105,25,96,93,14,61,69,26,True,7613618400
98,96,93,86,40,89,21,19,52,53,True,7614065312
62,109,10,92,27,19,113,110,73,9,False,7613970713
65,94,9,129,90,41,105,19,107,78,True,7613925660
22,98,65,73,9,89,53,104,58,46,True,7613839711
82,71,94,96,9,76,86,95,69,45,True,7613684526
21,25,88,137,26,120,80,3,109,19,False,7614157391
106,109,20,67,128,53,104,101,93,13,True,7614564741
105,13,59,57,19,81,86,3,23,10,False,7614526680
10,90,26,92,138,79,9,21,120,95,False,7614448065
98,9,88,49,6,46,126,79,45,129,True,7614412490
105,114,13,18,38,97,65,41,121,74,True,7614270349
79,19,63,104,86,120,20,73,77,45,False,7614172209
39,97,66,10,111,105,49,35,129,138,True,7614056091
53,23,26,129,46,33,19,106,93,5,False,7614567280
67,98,97,85,105,21,90,10,86,53,False,7614465041
28,86,20,137,73,48,17,31,49,9,True,7614433046
9,96,39,123,18,86,136,98,23,19,True,7614338225
137,136,91,105,106,85,1,7,10,41,True,7614312869
44,88,10,109,106,89,137,35,53,19,True,7614187957
11,9,49,73,65,52,70,96,40,21,True,7614121038
65,45,21,18,97,53,112,19,94,13,False,7614048676
19,14,25,137,33,48,123,22,28,65,True,7613974455
21,19,59,112,105,138,98,129,58,90,False,7613908004
73,86,121,52,23,18,62,9,22,77,True,7613798152
5,76,62,1,136,95,49,45,99,27,False,7613608849
61,64,29,21,53,114,79,14,49,106,True,7614477265
10,105,69,22,20,15,53,114,9,41,False,7614435222
98,9,41,20,38,114,129,85,65,17,True,7614382013
106,138,109,137,27,18,74,53,20,14,True,7614331766
43,65,129,9,90,53,49,45,38,28,True,7614316331
22,19,96,33,73,89,53,123,100,29,False,7614176323
126,96,109,9,45,91,98,20,60,1,False,7614007459
137,1,66,28,52,53,21,29,114,95,False,7613962030
19,22,129,94,100,15,1,95,63,69,True,7613844862
44,79,69,9,120,18,40,66,13,45,True,7613273881
66,106,94,15,109,96,65,34,105,1,False,7613209569
33,14,11,113,100,67,21,37,19,53,True,7613157414
46,98,26,45,95,114,31,129,52,13,True,7614556218
137,69,71,15,41,53,105,98,13,10,True,7614521687
98,65,2,53,18,90,20,88,10,73,True,7614484540
9,27,43,41,29,93,17,65,57,86,True,7614363923
43,65,129,9,90,53,49,45,38,28,True,7614316331
1,137,129,5,109,72,69,66,52,46,True,7614248670
98,20,5,48,13,109,41,49,67,120,False,7614199845
135,53,126,44,65,10,61,19,16,109,False,7614152320
35,10,97,9,109,17,63,65,45,85,False,7614080181
1,20,123,129,65,33,69,106,112,18,False,7614017375
93,79,69,120,45,33,13,83,26,18,True,7613977152
39,86,49,93,43,35,110,105,109,129,False,7613922179
45,25,123,10,96,22,109,52,69,86,False,7613822559
22,96,79,109,83,63,123,97,23,40,True,7613689863
52,26,120,49,95,18,65,86,39,7,False,7613625085
25,23,26,83,137,18,90,19,65,52,True,7613568267
46,86,112,23,136,69,104,91,19,90,True,7613534487
45,53,21,19,32,109,26,126,18,23,False,7614386888
94,20,53,129,49,114,65,105,98,82,False,7614352354
13,123,58,18,129,106,68,44,136,56,False,7614216361
114,19,98,109,63,65,72,123,120,99,True,7614129281
29,45,96,10,65,19,112,105,98,93,True,7613911540
105,13,109,29,63,98,9,137,41,65,False,7614384214
52,109,9,120,94,58,21,65,78,93,True,7614325111
45,19,97,105,46,58,69,93,121,126,True,7614289540
137,128,65,48,98,57,58,74,105,1,True,7614244485
65,89,66,76,19,53,48,98,83,23,True,7614223567
89,29,98,45,20,14,25,106,129,9,False,7614166965
129,123,93,17,105,136,22,41,9,112,False,7614107567
17,83,9,41,78,27,23,138,120,89,False,7614124822
13,20,73,86,49,27,100,47,46,109,False,7613950602
9,106,6,5,29,93,105,13,129,123,True,7613713082
87,9,128,93,96,59,79,10,123,41,True,7613646021
39,123,10,136,72,62,112,21,65,126,False,7613426829
87,77,54,65,50,75,88,48,137,17,True,7613354123
39,14,62,25,26,27,13,98,70,105,True,7613301657
129,65,86,109,39,105,17,18,100,21,False,7614603881
13,29,109,65,72,21,69,123,103,106,False,7613883276
106,123,97,14,10,105,53,21,18,78,False,7613691444
22,63,129,29,109,65,68,49,76,10,False,7613581656
103,1,90,52,137,39,112,97,41,65,False,7613529087
126,19,53,103,55,65,82,20,129,54,True,7613392606
136,106,105,28,41,59,98,79,93,27,True,7613320179
89,19,13,65,99,59,53,105,137,94,True,7613278673
120,26,39,53,78,18,47,9,123,35,True,7613245220
73,100,26,99,105,54,128,53,23,65,False,7613194379
21,25,31,69,53,105,26,1,59,126,False,7614116245
59,20,22,69,48,14,123,40,109,106,False,7614074673
52,74,23,27,1,49,114,8,25,65,True,7613640021
41,98,65,74,114,96,40,17,123,70,False,7613497587
