r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
106,29,20,58,35,128,51,81,69,121,True
64,2,82,53,11,72,59,49,85,7,True
100,10,21,96,74,123,13,97,95,86,True
54,97,123,58,22,25,39,69,105,100,True
9,103,21,14,26,11,135,40,48,5,False
69,76,25,53,102,26,104,5,11,1,True
74,48,123,9,98,58,86,73,97,90,False
97,106,54,26,30,58,49,73,96,112,False
13,2,86,42,85,71,15,128,7,19,False
25,120,19,135,92,54,58,96,43,65,False
28,25,14,86,10,119,44,121,129,11,False
100,45,6,43,96,9,10,123,71,106,False
52,48,20,123,71,49,9,28,136,21,True
58,73,120,123,129,56,97,46,17,20,True
54,17,96,105,53,98,15,48,5,51,True
110,71,100,44,84,43,53,54,119,26,False
39,129,21,70,20,100,97,8,27,33,False
104,101,36,11,112,74,72,63,28,100,False
8,9,121,96,126,56,86,97,120,83,True
129,42,90,87,26,55,93,86,46,83,True
25,126,121,20,137,46,86,96,48,100,True
94,97,78,105,20,21,98,5,48,51,False
52,84,30,54,71,107,18,16,64,83,False
28,32,112,23,86,120,102,20,69,21,False
35,86,10,2,84,7,33,6,103,3,True
23,29,86,72,71,128,31,105,8,108,True
47,28,26,20,15,22,48,97,123,83,False
25,123,69,121,4,100,70,21,19,53,False
106,114,75,14,86,61,96,41,53,43,True
106,48,26,135,102,97,101,96,63,119,False
21,71,9,53,19,114,25,5,16,51,False
14,26,41,22,85,21,42,128,112,45,False
48,69,14,112,5,21,71,19,53,26,False
86,138,126,102,5,53,14,69,109,74,True
13,21,43,84,58,96,10,86,25,5,False
2,46,86,19,20,35,98,41,31,112,False
6,69,121,76,31,74,93,59,84,86,False
4,49,98,72,79,13,28,21,86,26,False
70,98,20,136,83,48,39,29,123,100,True
107,14,121,96,123,8,97,55,31,106,False
14,86,10,97,8,74,98,27,41,68,False
48,20,49,36,100,19,74,14,123,96,True
95,47,123,106,65,48,100,129,21,26,True
6,19,38,85,86,17,21,69,123,45,False
49,47,100,10,121,20,123,106,90,70,True
82,56,137,26,20,121,76,7,37,70,False
104,83,128,4,46,95,31,126,21,105,True
100,123,21,69,107,33,70,97,121,76,False
73,5,121,38,120,41,86,96,46,87,True
123,39,100,69,18,70,129,120,86,20,True
