r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
72,39,8,97,86,129,120,20,138,110,False
86,14,8,11,114,2,48,98,121,84,True
21,10,84,2,9,37,11,82,114,14,False
4,23,31,60,72,45,120,96,20,41,False
43,129,121,128,49,123,47,106,93,110,False
121,71,62,93,105,5,41,21,76,49,False
69,83,49,90,107,110,121,14,113,98,True
80,1,110,74,20,104,14,48,114,47,True
1,19,43,17,64,79,106,123,69,14,True
97,7,65,109,20,12,120,31,43,100,False
19,7,34,5,42,96,20,10,84,11,True
123,71,35,93,33,120,94,29,86,26,True
128,25,97,41,79,49,47,19,40,62,True
62,106,41,53,40,98,89,112,19,39,True
94,100,129,120,37,49,35,69,68,20,False
96,30,82,123,49,108,93,121,114,47,True
102,121,70,84,22,2,58,17,48,72,False
61,113,101,5,17,102,84,48,22,121,False
5,106,138,41,69,39,1,137,105,58,True
78,23,31,26,4,95,21,86,100,96,False
98,104,86,1,26,74,84,121,44,29,True
20,120,137,53,18,95,39,96,105,58,False
89,97,120,123,75,79,46,129,86,80,False
46,104,86,84,82,11,71,21,26,48,False
69,106,123,5,54,65,120,63,72,97,False
48,21,13,62,64,67,25,138,16,97,True
10,96,106,53,86,14,90,38,26,5,False
21,71,49,39,64,120,48,7,123,84,False
137,106,87,79,10,70,98,21,100,121,True
21,61,40,15,136,39,10,83,79,14,False
49,1,123,86,14,12,106,43,121,31,True
10,106,119,129,58,41,120,21,100,53,False
21,136,10,96,74,103,79,78,76,84,True
46,39,19,73,123,96,136,68,43,83,True
18,119,36,45,77,74,12,31,69,121,False
123,41,98,135,128,21,112,23,100,17,False
51,129,58,18,43,9,15,48,121,96,False
48,121,49,31,25,109,86,43,57,98,False
31,71,113,123,39,51,96,80,119,36,False
26,43,48,123,97,121,28,105,46,49,True
15,47,26,40,13,98,56,110,92,114,True
75,119,53,102,90,41,98,20,105,120,True
9,121,13,63,96,86,98,120,105,73,True
20,46,123,89,29,53,129,70,105,120,False
123,39,5,46,129,19,112,12,31,121,False
49,112,48,107,26,106,86,20,98,10,False
106,62,90,75,41,128,98,40,49,95,False
112,25,45,14,95,106,98,51,93,121,False
104,17,10,123,66,5,39,89,65,98,True
