r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
46,45,17,2,84,94,100,112,66,13,False
2,113,14,26,120,38,21,13,40,105,False
54,86,137,13,53,96,20,106,63,138,True
73,57,26,9,97,17,90,105,135,1,True
35,119,77,4,20,97,128,93,60,5,False
93,29,5,65,86,114,129,66,105,35,False
2,13,30,48,31,10,64,123,97,53,True
14,3,63,21,17,49,1,106,123,72,False
7,49,63,45,5,35,26,48,55,19,False
101,138,137,29,31,121,26,88,114,36,True
69,48,111,123,120,106,45,42,105,78,True
64,73,86,44,137,136,79,82,41,68,False
41,53,7,121,106,49,98,19,58,21,True
20,80,106,48,123,83,46,33,136,63,True
29,53,37,123,74,114,93,86,21,26,True
1,21,53,96,90,29,26,14,47,68,True
17,10,29,123,110,25,128,78,19,20,True
58,128,54,106,92,23,2,21,26,27,True
102,49,55,26,121,106,109,19,123,20,True
99,92,10,112,84,64,41,35,73,93,False
19,3,10,72,129,63,73,111,100,25,True
71,56,123,54,42,106,110,67,97,87,True
93,105,129,17,110,102,123,106,19,65,True
58,70,23,100,55,26,20,102,7,41,True
114,98,88,21,13,100,106,92,53,70,False
17,94,29,123,26,66,128,48,106,97,False
10,29,39,100,20,48,65,97,123,25,False
106,109,23,123,83,114,102,97,101,53,True
19,98,55,83,21,105,90,46,23,100,True
71,26,114,10,31,25,102,1,110,11,False
119,137,25,28,51,74,72,69,123,42,False
23,18,80,123,20,102,129,74,64,93,True
10,53,120,20,69,135,43,89,45,100,True
82,17,73,105,106,98,95,114,86,111,False
67,17,29,123,110,100,90,25,101,137,True
48,120,105,83,114,129,20,67,75,82,True
65,98,59,74,18,10,71,30,13,64,True
98,70,106,79,121,72,102,30,23,137,True
90,123,2,83,10,98,93,74,20,100,True
93,19,20,53,77,71,65,10,114,86,True
19,74,21,94,68,138,38,13,51,43,True
77,123,41,22,110,128,51,29,25,21,True
106,90,48,20,121,6,65,83,47,129,False
43,75,100,41,13,110,90,123,129,89,True
7,95,26,10,64,101,68,82,61,41,False
26,39,129,101,41,51,49,25,29,45,False
53,137,91,21,8,26,85,46,28,34,True
106,21,121,25,100,135,11,110,128,8,True
93,20,106,129,58,31,29,123,100,39,True
23,114,43,100,66,22,20,121,63,60,True
96,121,73,51,26,100,97,75,129,67,True
10,27,102,106,98,67,64,23,83,46,True
61,49,65,58,94,75,21,28,54,105,True
98,112,129,121,94,19,33,73,20,82,False
74,129,31,93,119,97,1,26,35,107,True
46,93,96,105,83,15,41,19,53,13,True
45,7,47,70,19,29,109,51,17,26,False
129,20,95,111,120,17,45,98,123,41,False
73,25,20,23,53,71,26,104,138,114,True
42,20,114,106,53,1,101,38,17,121,True
19,43,95,53,51,104,106,70,26,71,True
100,106,98,53,15,23,64,70,76,31,True
123,51,106,90,46,84,47,57,44,26,True
84,25,114,53,102,35,39,60,20,64,True
44,87,82,20,98,74,137,10,26,96,False
51,31,112,35,126,105,17,26,28,32,True
23,29,112,21,41,123,74,79,2,48,False
111,71,46,53,76,21,95,126,137,87,True
19,114,90,2,64,68,121,95,106,21,True
73,27,69,21,39,106,129,3,1,123,False
27,95,30,14,88,98,13,94,83,105,True
70,5,71,39,86,53,27,10,38,36,False
79,114,47,26,96,60,5,112,13,15,False
19,14,79,20,39,92,84,90,83,114,True
79,96,114,85,25,106,23,102,105,38,False
6,126,51,135,72,57,76,83,43,45,False
20,26,98,123,89,138,74,113,100,60,False
138,93,91,2,80,112,29,50,20,89,True
79,69,120,100,72,94,106,71,105,23,False
10,98,21,74,112,76,43,70,7,91,True
129,112,17,105,102,119,93,120,72,77,False
21,106,105,123,29,65,90,10,96,86,False
14,106,128,31,61,55,49,123,48,83,True
58,90,69,105,10,121,47,49,20,94,True
55,43,105,45,41,33,89,106,86,69,False
70,106,110,20,14,75,73,98,123,129,True
120,26,104,42,79,22,41,51,135,31,False
53,112,105,129,10,20,21,93,96,123,False
123,102,47,19,110,129,112,106,20,95,True
10,26,120,105,29,20,74,61,14,119,True
10,39,102,119,97,79,29,100,35,48,False
105,17,58,137,48,129,106,123,8,65,True
69,39,5,45,73,110,21,74,96,100,True
55,97,123,10,83,100,29,26,1,15,True
12,121,90,128,96,26,20,80,32,21,True
128,51,69,19,79,12,25,38,45,121,False
73,17,49,105,53,58,19,10,96,65,False
129,123,110,10,15,39,54,112,100,121,True
58,106,96,105,10,95,19,35,86,129,True
96,61,45,43,65,20,106,25,80,123,False
45,19,69,121,93,123,22,49,30,25,False
21,25,121,69,100,96,52,10,112,85,True
20,17,95,123,29,114,39,96,121,65,True
33,19,65,105,15,57,23,111,89,27,True
48,65,49,123,97,93,46,19,96,53,True
93,66,19,97,26,21,23,14,86,103,True
45,19,65,97,41,21,86,17,100,38,True
13,70,128,65,69,74,119,41,110,38,True
97,90,41,86,58,121,73,47,137,66,True
21,88,106,26,128,110,74,41,119,77,False
33,19,65,105,15,23,89,57,27,111,False
89,98,123,53,38,41,121,31,25,135,True
20,60,14,43,66,137,87,113,29,6,True
39,97,41,105,45,17,15,100,20,12,True
58,89,49,96,65,20,41,83,25,60,True
66,70,23,9,106,110,121,14,22,60,True
80,21,102,26,90,15,25,60,121,40,True
100,135,105,73,15,66,70,102,3,74,True
19,25,106,20,55,121,21,2,11,112,True
79,10,39,53,96,21,121,37,14,129,True
135,49,123,48,83,26,101,137,19,54,True
100,112,96,53,106,71,43,120,21,83,True
20,21,49,53,8,67,56,113,71,87,True
123,126,121,96,18,14,109,74,105,20,True
28,50,38,86,45,14,112,31,35,26,True
4,25,97,86,66,21,19,104,123,100,True
45,106,114,33,10,137,136,97,41,110,True
121,25,63,18,64,101,28,39,100,29,False
8,15,129,123,105,26,137,20,63,39,True
29,25,106,65,110,58,129,102,119,82,False
114,39,96,128,65,70,106,53,29,85,True
10,106,20,96,123,54,19,120,105,65,True
1,45,97,20,100,112,21,19,98,86,True
46,100,90,138,20,67,25,31,74,2,True
65,61,89,3,90,121,52,83,71,93,False
58,56,63,123,29,20,14,45,49,46,True
102,110,26,17,96,128,40,137,105,41,True
79,106,66,98,93,26,56,14,102,97,True
27,45,80,64,42,30,32,123,102,84,True
95,90,96,123,30,28,13,20,26,113,True
10,45,83,69,74,55,68,136,137,41,False
53,20,95,15,19,41,119,68,74,71,True
96,35,79,53,21,76,71,54,121,20,True
21,69,105,75,106,90,86,129,82,100,True
14,101,74,20,10,97,1,19,53,30,True
25,120,137,121,20,105,86,74,21,2,False
105,20,41,96,74,55,54,26,123,76,True
121,69,114,120,53,113,123,20,1,96,True
53,93,29,113,30,41,74,128,98,47,True
26,25,2,96,53,86,65,106,137,46,False
84,60,128,86,2,136,78,25,105,87,True
21,27,96,10,17,112,106,43,26,76,False
21,83,19,1,13,90,17,14,101,69,False
93,7,121,98,26,85,48,21,32,106,False
137,72,100,21,90,48,46,110,38,27,True
79,15,49,98,14,43,13,63,26,51,True
53,58,10,106,23,123,71,98,19,25,True
32,12,121,128,106,23,36,112,88,43,False
113,129,26,17,75,46,106,69,79,20,False
45,43,73,83,19,69,10,20,26,106,False
112,120,79,47,95,66,107,49,105,10,True
45,20,95,49,112,25,58,1,100,96,False
52,57,72,11,123,74,26,97,60,51,False
102,26,89,46,85,91,84,81,93,107,True
48,106,28,105,85,95,90,69,123,20,False
100,21,48,23,74,20,92,98,39,26,True
112,35,73,129,105,26,54,47,58,96,True
73,86,33,19,48,129,98,90,82,20,True
45,106,10,49,105,67,90,58,100,78,True
106,70,129,121,102,7,135,110,105,42,False
26,110,4,97,90,105,29,20,43,10,True
7,28,6,19,68,86,42,84,61,8,True
58,120,90,97,41,48,26,98,82,111,True
96,49,60,26,113,12,119,69,86,106,True
105,10,76,58,96,100,29,123,25,17,True
25,2,75,3,63,49,31,29,11,136,False
123,20,82,10,29,105,71,70,98,121,True
53,21,96,72,74,97,23,4,45,26,False
93,21,28,79,96,80,105,112,17,20,False
84,121,60,21,19,126,4,86,69,45,False
110,93,65,129,90,128,41,105,26,96,True
67,58,20,74,78,21,100,80,103,92,True
53,42,85,48,25,107,55,5,8,126,False
43,123,20,14,54,17,129,103,105,10,True
79,49,48,105,97,65,46,20,102,39,True
128,101,15,28,64,13,29,26,58,95,False
37,33,86,19,41,106,63,26,119,98,True
66,13,54,49,65,63,111,55,19,82,False
26,67,97,110,62,71,106,20,105,48,True
120,98,110,20,42,41,26,105,106,47,True
62,113,112,96,95,129,48,78,51,26,True
100,123,96,4,13,102,120,135,35,65,True
126,41,105,20,69,74,129,86,93,85,True
79,109,23,98,20,17,121,53,48,43,False
83,137,121,89,120,9,107,53,94,28,True
121,46,19,69,102,129,13,82,90,20,False
58,120,98,41,90,60,128,74,48,85,True
71,90,26,114,84,40,13,54,83,86,False
96,8,123,128,58,68,105,129,120,48,False
21,92,28,5,51,10,123,106,69,110,True
67,86,102,137,64,77,20,92,79,66,False
120,83,36,28,121,26,95,74,60,112,True
39,14,86,21,63,26,76,57,91,94,True
55,76,18,20,26,104,84,14,109,105,True
48,33,65,58,106,89,98,13,123,51,True
20,22,45,55,21,54,98,46,26,40,True
98,121,45,69,36,41,27,123,90,96,True
22,103,72,81,84,95,104,101,45,40,True
48,84,14,105,33,83,55,46,76,26,True
48,97,21,65,20,53,17,80,43,88,True
123,4,69,74,88,66,19,65,60,76,True
18,96,31,9,13,19,95,49,45,20,False
48,97,21,65,20,53,80,17,88,43,True
35,86,104,109,5,40,71,41,46,121,False
21,18,103,128,71,97,28,20,27,106,False
7,9,42,53,87,51,69,61,36,1,False
10,97,121,64,22,106,72,26,4,16,False
63,71,121,46,72,28,5,17,77,27,False
25,64,137,106,86,21,100,44,97,20,True
26,137,1,31,2,17,69,42,123,43,True
82,39,72,96,100,63,84,46,121,26,False
23,64,48,129,26,25,128,51,119,47,True
53,34,119,121,126,14,26,25,61,21,True
71,36,64,11,111,46,96,20,25,53,False
96,14,123,88,48,56,106,98,54,7,False
98,46,114,53,20,31,112,95,74,2,True
