r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
95,46,78,86,105,10,68,13,19,98,True
86,61,129,70,110,21,2,71,126,10,False
45,10,136,49,57,75,92,29,112,126,False
21,29,112,126,109,53,20,25,96,41,False
48,123,96,86,35,41,69,45,79,36,True
10,49,85,112,96,123,128,69,126,48,False
20,46,97,49,105,58,90,7,15,93,True
80,136,91,47,121,88,61,21,98,20,False
14,137,121,98,106,123,71,53,50,80,False
112,73,46,19,21,33,18,55,53,39,True
109,105,106,104,84,86,40,4,60,69,False
88,13,43,46,66,12,96,26,121,39,True
79,46,78,50,65,112,106,19,49,10,True
89,17,58,86,60,84,106,10,2,21,False
12,88,121,71,98,100,21,10,136,50,True
105,126,123,54,49,15,120,69,65,72,False
33,73,28,100,39,58,65,113,136,63,True
84,21,19,52,109,82,13,40,26,28,False
4,129,19,112,20,35,96,21,13,100,True
71,135,39,119,42,49,29,10,64,22,True
119,136,17,129,21,41,106,97,5,128,False
104,86,18,17,5,13,97,82,73,93,False
20,65,35,91,136,79,95,98,119,13,True
19,48,97,110,7,13,44,21,28,105,False
17,56,86,69,107,96,57,22,48,5,True
114,123,20,97,3,100,96,15,43,39,True
5,128,129,25,120,135,39,82,86,83,False
114,97,20,3,123,39,43,15,96,100,True
18,29,105,40,51,98,21,14,9,64,False
20,16,69,54,37,96,26,18,106,5,True
25,9,48,87,2,14,51,21,8,27,True
106,54,90,49,26,97,2,22,39,50,True
21,74,96,93,40,70,49,53,79,61,True
60,106,101,53,94,111,95,96,123,13,True
32,26,48,17,27,9,89,25,100,69,True
93,26,13,58,129,38,21,5,10,120,False
54,71,74,37,22,52,126,64,53,40,False
26,100,33,94,106,53,120,65,108,93,False
104,48,25,26,5,114,109,11,86,58,True
48,91,112,137,50,71,10,97,66,45,False
9,86,18,49,71,48,129,128,64,111,False
71,20,23,48,9,1,104,86,22,5,False
94,21,96,26,85,5,49,13,129,100,True
96,59,71,27,29,21,20,11,84,54,True
66,70,47,26,17,14,74,129,68,73,True
97,69,9,73,86,25,96,114,58,43,False
12,25,91,66,15,98,138,123,96,83,True
48,104,33,53,5,84,74,73,2,22,True
120,20,75,21,54,39,18,57,98,69,True
85,7,105,81,23,107,72,69,20,48,False
71,96,63,17,20,53,41,47,62,106,False
84,48,86,106,7,97,95,119,39,85,True
74,86,114,2,123,48,119,101,20,47,False
48,21,28,20,126,32,91,22,121,72,True
72,9,100,18,96,14,11,86,58,21,True
46,96,26,14,29,128,101,95,49,51,True
13,26,96,10,5,7,44,129,86,84,False
112,86,53,11,1,46,26,87,49,14,True
93,88,96,120,58,123,10,71,5,74,False
19,21,91,136,26,72,28,75,84,40,False
23,19,10,61,84,21,88,5,48,106,False
128,49,39,85,25,22,86,114,14,48,True
106,120,12,19,64,48,96,9,119,36,False
2,39,53,18,14,84,26,11,20,93,True
90,30,113,99,41,14,48,35,137,5,False
120,54,7,51,94,128,80,1,26,53,False
42,71,26,123,25,23,50,44,69,20,True
84,25,14,11,21,48,97,13,88,53,True
112,98,136,51,39,47,16,18,14,3,True
123,35,48,2,5,14,84,79,25,113,True
106,45,67,97,64,128,2,121,4,27,True
19,53,35,9,72,47,78,49,79,94,True
114,83,39,96,119,84,11,22,104,48,False
106,69,21,86,1,82,10,98,5,56,True
80,5,49,48,74,129,79,1,106,26,False
49,39,25,95,86,48,123,5,17,2,False
95,137,96,101,121,94,123,120,61,72,True
105,31,135,22,46,96,14,120,10,86,True
120,102,26,129,58,53,138,106,19,51,True
86,38,5,42,13,26,69,6,85,17,True
14,105,112,86,90,21,106,53,135,73,False
46,98,105,1,3,94,20,120,80,45,False
113,29,53,79,80,20,49,123,13,93,True
123,42,74,86,2,5,101,69,13,8,False
64,62,84,114,109,20,74,48,77,100,False
71,10,52,20,123,136,106,137,14,112,True
21,94,43,100,5,28,39,95,20,58,False
21,20,7,106,67,25,129,113,26,112,True
95,23,40,123,112,98,86,6,136,14,True
95,46,78,86,105,10,68,13,19,98,True
