r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
48,20,96,21,119,31,54,100,74,28,True
45,89,106,105,16,64,11,102,88,80,True
126,27,14,39,21,114,138,17,19,98,False
128,39,93,84,23,110,129,17,46,100,True
40,31,73,110,126,49,43,112,50,93,True
120,102,49,20,94,123,53,82,106,103,True
96,97,14,74,95,123,20,93,29,19,False
10,128,109,7,37,11,110,6,38,51,False
111,13,26,71,41,16,59,53,10,30,False
100,26,96,1,17,48,46,121,129,84,False
102,123,58,120,46,19,94,65,108,20,True
120,69,100,53,109,43,138,91,14,88,True
29,53,56,25,86,26,15,93,123,106,True
103,112,41,13,53,64,46,10,93,26,False
91,85,88,123,67,105,64,70,13,97,True
20,32,129,105,138,61,97,39,119,17,True
121,96,53,35,67,28,13,73,105,69,True
69,26,79,42,106,21,82,129,105,71,True
100,40,13,26,73,66,74,69,93,119,True
64,26,93,17,99,41,112,70,85,137,False
14,61,47,31,41,23,10,30,105,99,True
112,69,111,102,13,113,96,22,41,20,True
47,28,123,105,14,43,9,17,6,71,False
42,71,14,21,59,16,91,123,46,15,True
13,83,53,20,137,69,46,48,105,26,False
121,120,14,95,57,96,20,25,48,31,True
69,128,1,110,72,19,120,47,94,83,True
98,112,18,51,105,86,129,93,66,76,True
5,89,76,45,129,114,66,10,96,13,False
126,42,123,20,96,129,9,59,8,45,True
2,26,13,8,5,121,93,14,76,91,False
61,105,48,74,71,111,29,106,65,95,True
100,19,85,21,25,13,20,10,45,69,True
137,20,109,105,23,21,19,55,53,39,True
25,58,10,26,96,102,20,100,63,74,True
45,96,67,106,5,21,47,97,86,100,False
51,45,46,77,14,84,15,10,2,5,True
29,1,123,31,39,20,114,13,22,69,False
121,4,20,104,46,10,29,120,26,58,True
46,69,97,72,105,20,11,21,123,38,False
111,71,14,98,126,121,13,29,86,70,True
128,109,2,17,85,83,86,77,13,96,False
51,105,13,95,96,21,16,74,7,45,True
43,100,94,7,83,103,13,102,48,20,True
95,88,111,108,14,7,6,45,53,46,False
60,138,32,51,25,91,112,136,48,26,True
43,100,94,7,83,48,13,102,103,20,True
121,86,17,53,96,112,64,10,29,26,False
10,63,100,121,13,135,119,21,98,89,True
21,137,43,72,20,107,102,119,51,15,True
57,21,20,100,88,82,138,29,112,76,False
136,48,38,19,45,26,96,109,13,100,True
37,62,15,53,6,30,32,74,88,69,False
93,23,86,29,111,43,18,79,108,123,False
48,11,66,119,137,18,98,135,123,105,True
121,137,43,65,4,73,98,23,123,53,False
72,96,136,74,121,45,106,71,29,48,False
69,58,105,106,41,25,47,20,90,19,True
72,65,79,69,76,18,112,33,114,86,True
45,68,102,120,71,86,7,10,78,26,True
89,137,26,102,45,119,39,123,129,93,False
62,98,48,86,97,106,5,138,102,123,False
12,39,3,21,77,80,98,58,102,79,False
108,49,70,22,86,60,92,41,31,30,True
19,48,79,69,74,93,121,92,71,113,True
119,106,19,21,93,41,65,22,29,20,True
82,72,21,96,83,53,69,25,101,93,True
43,109,112,98,83,121,91,60,72,36,True
93,11,29,86,110,35,123,54,2,128,False
98,19,29,66,41,31,21,48,2,126,False
1,39,129,26,110,8,29,20,85,11,False
123,21,45,129,48,13,44,27,14,58,True
91,23,83,60,48,21,74,96,20,79,True
48,60,83,26,17,45,113,95,78,123,True
48,76,14,20,30,70,106,101,29,79,False
74,26,70,21,38,3,25,58,102,32,True
17,123,10,79,28,56,19,71,20,69,False
91,93,96,110,21,26,46,121,28,18,False
101,1,128,96,13,70,14,121,65,49,False
15,73,53,29,123,51,18,66,55,21,False
23,14,114,79,112,63,84,10,53,71,False
65,92,91,90,48,106,10,105,20,38,True
17,85,69,14,21,76,114,15,96,123,True
17,41,123,96,110,58,129,51,120,73,True
120,119,97,110,41,100,20,49,48,106,False
