r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
19,12,96,26,61,86,73,100,23,94,False
5,50,82,129,79,89,9,23,123,49,False
54,59,13,19,20,95,120,28,26,112,False
20,96,47,79,15,123,72,25,98,49,True
41,17,96,101,79,46,59,129,105,100,True
90,21,26,71,89,11,137,14,20,84,False
63,75,46,19,73,26,136,15,47,20,False
20,86,43,98,10,71,119,23,50,113,False
10,26,23,28,86,41,19,69,105,68,False
33,90,30,71,102,26,21,123,29,94,True
55,100,128,109,82,78,26,63,84,25,False
30,137,112,93,17,111,29,79,4,49,True
79,20,32,97,47,89,85,49,26,129,True
93,33,15,21,19,4,46,129,72,65,True
136,60,1,34,5,123,84,39,64,48,False
41,65,55,26,98,48,13,102,53,79,True
123,64,13,84,109,58,129,63,74,111,True
21,48,86,135,126,102,14,104,42,11,False
14,11,86,104,48,26,54,112,19,35,True
5,41,28,65,74,102,137,58,26,108,True
97,70,22,26,58,73,120,96,56,136,False
71,89,106,65,123,79,100,96,120,76,True
123,49,112,50,48,100,74,79,29,76,False
112,49,100,78,63,26,69,14,106,123,False
27,19,22,46,112,86,93,129,123,98,True
88,113,136,21,93,46,138,19,123,29,True
102,60,105,98,5,41,50,111,19,136,True
48,121,106,26,43,4,58,49,23,86,False
109,26,123,69,57,128,85,20,86,48,True
123,10,79,46,98,49,6,110,86,120,False
57,47,91,86,76,102,98,75,135,65,False
20,102,45,41,22,40,95,26,74,98,False
