r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
46,7,85,98,47,40,95,105,120,86,False
43,93,27,61,20,28,53,5,137,113,False
58,45,46,129,48,29,123,39,26,41,False
28,112,49,21,86,66,26,106,97,93,False
16,17,65,119,10,33,113,49,45,21,True
38,123,45,59,48,137,33,9,25,70,True
78,88,45,120,61,25,26,71,33,46,False
20,62,21,10,106,39,14,83,43,41,False
76,66,41,112,121,49,97,62,26,59,True
23,20,123,72,69,26,50,31,71,70,True
3,26,11,109,10,120,51,14,69,1,False
113,33,90,73,20,51,129,1,102,9,True
89,26,14,74,128,65,114,98,93,5,False
49,19,23,93,26,46,105,71,121,14,True
90,66,120,82,129,78,13,21,123,100,True
35,5,29,71,41,30,78,106,48,53,False
13,96,85,21,123,30,37,126,28,95,True
30,49,123,1,98,26,51,13,10,71,True
94,25,137,105,26,69,123,138,83,13,True
49,106,9,65,97,29,100,13,48,62,False
1,51,66,28,120,45,129,3,25,95,True
73,71,104,14,3,114,69,83,126,138,False
114,5,123,13,2,40,25,49,41,71,False
16,20,13,7,21,138,28,49,97,87,True
82,22,14,65,105,13,49,45,48,26,True
65,13,49,105,82,63,20,104,120,21,True
105,41,121,129,22,86,104,123,100,25,False
45,95,123,16,49,28,100,21,13,48,True
10,20,128,45,74,110,94,26,55,106,True
112,41,33,47,121,69,82,48,7,20,True
82,63,123,13,20,65,58,137,91,49,True
14,72,21,137,25,1,123,17,129,105,True
74,40,129,112,1,39,123,45,78,113,False
120,40,98,30,80,106,83,45,113,129,False
13,112,19,1,20,45,97,41,123,7,False
19,101,66,73,15,7,26,104,48,20,True
126,26,96,58,82,48,73,74,136,49,False
93,13,14,112,105,35,10,97,123,58,False
105,41,121,129,22,86,104,123,100,25,False
93,59,86,40,49,113,83,45,97,109,True
97,26,67,123,80,19,40,129,63,112,True
82,71,45,114,110,10,39,105,98,87,True
106,103,20,129,41,59,26,97,65,14,False
14,45,54,82,90,47,20,103,70,16,False
76,110,19,67,112,69,68,15,126,10,False
74,64,48,9,71,66,38,121,25,120,True
15,26,65,49,98,33,83,88,19,10,True
20,62,21,10,106,39,14,83,43,41,False
48,100,33,19,21,14,47,26,123,49,True
89,123,20,98,49,32,138,22,19,21,True
39,65,83,20,15,95,105,21,49,123,True
29,83,123,41,113,45,39,105,49,46,False
