r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
61,53,63,95,26,105,76,97,65,48,True
92,19,94,20,74,109,68,106,58,97,False
80,69,41,58,47,82,26,74,96,65,True
61,45,114,34,10,106,66,21,63,97,True
90,110,96,25,53,1,100,137,26,98,False
50,20,39,114,106,90,40,123,97,93,True
66,120,78,41,65,29,106,123,82,26,False
96,63,47,60,10,106,45,19,21,41,True
25,43,19,83,32,89,69,80,105,121,False
56,80,65,105,69,20,15,43,21,53,False
48,69,74,14,20,19,112,106,32,37,False
41,74,135,53,26,65,20,121,32,69,False
53,87,80,106,1,69,15,123,113,112,False
97,83,114,106,39,98,100,47,105,138,True
17,26,129,103,48,112,86,25,51,82,False
45,82,90,62,98,25,83,2,123,36,True
102,123,14,74,97,93,64,55,13,71,True
106,8,105,26,78,110,54,17,37,71,False
21,102,20,95,13,120,94,96,26,90,False
98,53,106,84,6,13,41,112,14,78,False
27,96,114,33,62,106,105,97,20,1,False
1,97,112,26,19,106,45,41,88,43,True
33,35,112,82,88,70,69,26,85,90,False
21,17,123,97,65,106,5,19,102,47,False
23,136,14,123,90,70,69,106,112,26,False
10,14,58,2,82,90,73,105,80,41,False
90,41,20,100,29,92,19,14,26,70,True
27,69,112,10,82,113,138,83,47,8,True
86,2,106,65,18,13,45,53,70,26,True
48,7,82,20,65,106,98,101,14,21,True
114,123,113,74,103,82,105,106,96,112,True
33,14,112,41,65,34,40,89,78,123,False
69,26,93,136,22,21,85,45,95,106,False
103,110,129,135,10,21,5,71,120,73,False
18,71,91,17,98,65,59,72,80,79,True
106,86,14,54,20,70,69,123,46,9,True
58,128,129,21,10,94,98,72,105,74,True
98,86,45,74,73,105,4,71,120,36,True
72,13,33,138,58,14,46,120,21,121,False
120,112,113,10,64,14,129,13,6,20,False
35,47,27,62,113,51,82,26,49,95,False
120,82,106,45,105,86,98,5,97,1,False
126,45,46,137,69,49,13,88,12,20,True
69,40,100,25,49,1,121,53,129,17,True
74,19,91,112,70,65,20,135,95,80,False
120,106,6,21,69,110,86,12,96,49,True
126,82,105,77,66,113,45,73,19,102,True
129,123,40,41,82,102,58,56,106,21,True
93,91,129,17,83,41,121,105,128,63,True
8,86,49,97,65,39,110,129,19,48,False
56,71,29,113,110,66,86,128,10,106,False
19,74,106,95,75,13,63,83,123,80,False
123,106,69,53,129,27,83,74,56,14,False
93,106,33,129,58,17,89,98,112,40,False
