r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
19,34,43,110,10,1,72,128,13,28,True
12,47,26,112,66,14,85,21,65,120,True
18,13,19,20,47,128,40,62,93,90,False
14,121,82,63,114,95,66,26,106,73,True
23,61,110,26,1,136,10,20,126,86,False
74,26,96,14,10,72,95,114,5,73,False
4,60,76,66,123,93,49,111,26,96,False
93,88,79,96,98,114,86,20,49,80,False
15,80,47,65,19,20,111,49,25,95,True
93,106,49,33,56,89,22,121,112,83,True
18,112,49,13,26,72,66,71,98,47,False
35,20,123,89,73,13,29,26,86,95,False
90,3,112,21,113,12,123,98,38,19,True
49,66,79,62,63,23,65,123,10,55,False
72,19,129,1,26,73,29,123,105,23,False
34,2,40,66,46,93,26,48,97,105,False
100,13,15,87,25,5,55,41,110,1,False
98,100,138,16,4,58,21,2,77,106,True
59,58,41,108,123,22,121,62,49,73,False
80,110,123,129,137,86,120,58,97,95,False
33,53,49,32,112,123,71,82,25,48,True
62,93,59,65,21,4,49,72,29,123,False
123,98,14,62,25,45,17,95,66,49,True
62,93,51,17,112,13,86,49,48,79,True
82,47,20,93,123,135,21,50,12,88,False
21,119,41,100,66,106,82,136,123,33,True
45,14,43,74,44,113,20,49,106,121,False
21,44,65,19,45,20,74,95,26,49,True
98,26,13,73,103,72,33,45,129,47,True
90,96,123,5,89,9,41,33,17,19,True
89,45,86,69,49,9,33,106,25,113,True
46,20,97,123,22,26,137,74,48,79,True
41,97,129,123,26,70,49,126,21,50,False
48,65,29,56,88,93,91,79,25,96,False
120,138,112,49,5,45,73,14,105,19,False
25,23,10,79,14,7,58,67,120,86,True
96,26,20,41,123,49,79,129,19,11,True
120,39,26,21,129,7,57,10,13,79,False
82,100,120,83,123,51,96,72,76,79,False
105,13,98,41,20,85,40,83,21,17,True
138,100,71,65,23,98,84,86,21,69,False
35,95,102,128,62,41,40,112,28,137,True
114,5,14,7,86,58,13,89,78,26,True
19,49,20,90,44,67,123,97,79,137,True
114,137,14,58,22,98,105,113,21,65,True
97,86,80,43,110,114,19,20,25,55,False
112,105,39,21,41,45,94,3,76,65,False
49,14,137,85,48,21,20,29,53,98,False
48,21,123,66,13,90,79,69,105,80,False
7,80,76,91,93,98,20,123,49,126,True
46,26,45,63,136,58,80,106,110,41,True
96,90,26,22,93,136,106,98,88,6,True
49,65,22,82,110,39,123,10,53,129,False
113,26,123,49,41,20,71,106,15,48,False
26,88,28,98,93,21,110,56,1,45,False
74,48,136,40,128,62,45,19,94,21,False
137,47,20,94,119,14,58,65,32,89,True
93,123,80,19,59,43,41,73,105,91,True
62,93,51,17,112,13,86,49,48,79,True
86,105,10,98,72,90,47,5,93,19,False
78,82,65,49,66,17,21,3,63,29,False
46,20,49,45,18,74,6,53,135,19,False
80,43,41,19,45,39,26,112,14,100,False
86,49,136,26,62,47,61,58,19,41,False
128,41,114,33,45,110,93,19,13,21,False
61,45,20,10,39,100,18,63,120,58,False
23,61,110,26,1,136,10,20,126,86,False
120,26,48,20,23,106,29,123,45,1,False
58,23,102,26,41,107,40,123,97,93,True
9,114,14,113,129,82,23,105,69,86,False
89,39,72,19,57,136,86,10,25,102,False
15,86,128,123,94,33,41,96,136,13,False
18,34,91,49,53,69,86,19,68,48,False
136,26,13,28,72,62,106,121,1,33,False
97,26,59,75,82,98,49,58,114,121,True
136,69,49,1,123,120,72,96,45,94,True
20,8,69,98,26,136,29,123,106,18,True
96,129,105,71,41,32,86,76,64,69,True
49,43,19,136,25,48,71,126,20,112,True
29,123,47,90,72,21,100,53,55,82,True
49,15,105,7,46,93,101,29,76,86,True
13,26,69,29,54,25,49,136,123,47,False
106,26,5,129,10,1,58,45,98,114,False
74,26,96,14,10,72,95,114,5,73,False
41,26,20,106,49,65,45,95,136,113,True
1,30,82,123,61,21,86,105,69,126,True
112,105,39,21,41,45,94,3,76,65,False
74,26,96,14,10,72,95,114,5,73,False
106,23,45,123,8,82,28,6,40,65,False
48,21,123,66,13,90,79,69,105,80,False
97,121,12,98,45,106,14,19,48,129,False
17,123,96,48,66,126,20,5,41,98,True
105,89,86,69,13,74,112,19,94,9,False
126,62,69,41,86,65,48,137,120,123,True
97,26,59,75,82,98,49,58,114,121,True
86,129,87,94,83,59,5,69,19,82,False
135,89,33,19,101,29,45,86,106,93,False
97,26,105,98,44,106,40,34,53,82,False
45,21,41,14,47,48,53,49,20,106,True
65,19,26,95,96,82,33,45,129,90,False
10,13,45,136,21,82,9,72,129,110,False
86,105,10,98,72,90,47,5,93,19,False
19,10,20,98,96,106,29,45,41,40,True
70,20,29,83,7,105,80,14,123,114,True
105,86,129,90,70,73,123,13,19,21,False
110,20,14,48,17,13,72,128,98,41,True
120,123,14,72,91,33,21,82,135,27,True
94,65,98,33,49,114,66,72,29,138,True
90,119,49,48,71,95,72,120,100,129,False
23,21,128,25,43,98,27,18,49,33,False
69,31,98,4,121,46,72,96,83,90,False
21,70,98,66,86,112,121,25,72,61,True
46,87,30,88,14,61,31,120,21,26,True
41,14,111,31,47,65,112,114,13,97,True
69,20,114,112,106,14,86,71,31,23,True
43,123,72,23,86,49,51,25,128,47,False
41,22,86,98,58,49,26,83,93,34,False
98,105,71,126,94,19,8,49,31,34,True
137,65,20,13,48,55,69,45,100,10,True
25,23,10,79,14,7,58,67,120,86,True
114,91,100,41,40,62,70,97,14,59,True
41,39,30,79,106,97,112,64,76,105,True
106,86,96,58,1,11,79,136,49,113,False
49,95,64,47,91,93,36,19,121,28,True
90,128,100,96,15,41,123,28,49,65,False
13,93,135,27,58,20,4,69,39,123,False
129,53,72,90,105,21,112,137,55,83,False
41,19,34,58,33,22,110,48,71,73,False
23,138,40,94,69,14,123,112,70,97,True
113,20,86,43,137,39,69,9,112,49,False
120,105,45,93,97,94,71,13,69,65,True
89,45,27,78,25,79,13,21,46,100,False
105,123,97,1,23,19,5,137,93,129,False
105,112,61,18,100,96,1,68,20,22,True
123,88,26,39,94,29,128,35,112,41,True
82,83,93,74,123,98,121,137,20,21,False
93,123,80,19,59,43,41,73,105,91,True
39,70,123,80,14,48,60,26,20,126,True
1,112,88,20,110,45,2,49,65,12,False
25,123,53,120,137,106,71,73,4,121,False
13,69,105,95,96,1,112,66,19,39,True
94,65,98,33,49,114,66,72,29,138,True
97,25,19,66,13,48,123,65,98,17,True
41,72,13,137,58,94,20,123,120,23,True
21,105,22,58,48,19,113,114,92,93,False
120,26,79,70,98,48,20,135,19,113,False
26,66,46,49,137,94,123,90,136,38,True
106,22,84,41,69,136,96,120,71,66,False
41,78,59,123,66,13,113,121,60,9,True
13,5,20,19,81,74,129,58,109,138,True
72,14,76,79,65,10,98,7,33,35,False
48,80,83,21,137,113,98,105,39,20,False
93,86,62,34,69,46,73,101,66,41,True
65,47,136,64,93,138,71,29,123,137,False
90,123,5,96,1,2,27,101,95,7,True
69,11,45,89,105,13,100,47,26,41,False
137,65,20,13,48,55,69,45,100,10,True
114,91,100,41,40,62,70,97,14,59,True
107,136,6,135,71,74,55,33,49,26,False
106,71,111,21,93,86,48,112,17,96,True
63,68,53,97,129,137,14,105,48,98,True
49,20,97,1,79,129,62,9,34,54,True
76,26,111,98,93,126,29,20,123,41,True
76,86,96,113,3,106,27,102,98,19,False
35,20,123,89,73,13,29,26,86,95,False
49,20,14,46,98,97,123,84,82,43,False
46,26,20,49,13,129,105,9,89,79,False
120,66,105,95,114,74,49,41,45,20,True
94,83,26,39,29,25,66,19,136,93,False
46,20,49,45,18,74,6,53,135,19,False
14,48,66,7,79,69,19,72,30,82,True
47,121,19,1,69,129,94,45,86,51,False
78,25,82,71,31,48,19,112,22,123,True
10,13,45,136,21,82,9,72,129,110,False
73,20,88,47,21,25,26,29,48,110,False
89,47,121,96,5,41,49,39,123,102,True
94,5,98,76,9,82,20,105,96,13,True
89,65,53,98,106,41,21,19,20,114,False
82,66,38,86,13,112,96,105,48,49,True
129,35,12,65,9,48,59,40,28,72,True
13,28,96,95,26,41,65,123,74,38,False
94,83,26,39,29,25,66,19,136,93,False
41,37,13,63,29,19,129,72,96,1,True
129,86,45,17,48,35,84,51,22,137,False
105,17,103,98,19,82,58,14,93,13,False
35,20,21,105,89,49,34,93,110,121,True
74,19,66,21,41,65,58,25,106,7,False
49,123,28,40,41,102,48,27,65,47,False
1,123,106,129,58,33,15,10,114,80,True
106,123,63,93,103,120,114,65,21,41,True
106,86,96,58,1,11,79,136,49,113,False
114,5,14,7,86,58,13,89,78,26,True
19,45,94,97,66,60,13,1,105,58,False
