r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
126,78,10,123,62,49,26,21,45,33,False
33,107,20,19,82,79,109,86,49,97,True
123,55,20,12,9,126,48,19,79,43,True
82,79,45,137,29,9,49,123,23,5,True
82,121,71,66,96,29,13,20,94,9,True
48,23,100,123,96,38,49,3,94,20,True
15,23,48,19,66,114,112,57,39,58,True
82,121,71,66,96,29,13,20,94,9,True
65,129,58,94,39,46,28,69,20,63,True
98,83,97,19,15,96,119,111,106,82,True
45,79,13,73,14,29,111,20,114,126,False
89,14,43,5,88,93,121,29,71,76,True
80,111,123,13,104,86,33,97,7,41,True
74,5,96,19,43,126,70,45,105,72,True
32,100,112,19,80,136,31,17,45,93,False
43,59,26,135,89,33,119,14,106,49,True
78,26,59,68,93,58,106,123,48,33,False
58,26,89,78,47,29,39,123,33,41,True
3,90,93,73,20,41,120,110,135,58,True
14,12,119,90,5,41,19,20,110,22,True
105,78,13,66,94,63,45,69,22,21,True
98,39,135,86,56,19,100,48,43,15,False
3,41,106,49,65,72,19,14,38,63,True
103,129,48,33,51,21,78,66,19,41,False
106,65,58,48,28,13,136,1,123,105,True
78,58,97,49,20,69,26,48,51,7,False
78,79,69,126,55,25,71,20,13,129,True
82,129,76,9,123,23,78,65,100,21,False
72,85,123,49,17,18,20,65,33,13,False
82,91,48,65,136,53,41,119,62,106,False
121,49,126,66,95,35,73,123,20,14,True
136,86,120,45,2,70,129,40,113,64,True
114,80,26,105,49,129,65,54,33,1,True
65,19,98,48,40,49,37,32,43,26,True
65,97,5,48,106,93,110,128,123,13,False
49,20,41,50,79,23,5,65,106,73,True
10,28,114,110,123,69,136,48,19,128,True
41,105,128,5,29,9,20,19,70,97,False
87,62,23,41,112,123,93,2,120,20,False
105,96,95,58,59,41,97,19,14,13,False
82,96,20,13,45,41,137,105,121,38,True
65,43,105,137,21,47,33,128,19,10,True
12,19,47,65,13,86,10,72,49,120,False
98,26,72,41,49,19,123,92,48,112,True
95,17,119,112,26,56,113,21,136,2,False
97,27,62,48,105,74,14,20,1,92,True
48,49,26,96,17,20,98,41,74,68,False
39,19,113,26,80,21,5,69,123,11,True
79,20,98,70,59,41,26,120,65,55,True
135,86,111,1,45,98,48,58,39,123,True
25,48,9,33,69,123,94,66,137,32,False
25,83,21,49,39,97,105,98,26,82,False
28,26,123,110,41,13,112,86,129,1,True
105,80,72,96,100,98,123,114,33,58,False
98,95,51,65,33,72,85,90,97,26,False
20,14,33,113,41,26,48,123,16,17,True
98,72,7,1,65,48,123,23,45,21,True
14,49,68,41,3,10,21,45,129,13,True
47,106,109,27,69,73,49,48,58,20,False
74,88,20,97,47,53,69,39,128,82,False
12,19,47,65,13,86,10,72,49,120,False
74,66,19,29,95,46,65,54,26,96,False
88,100,123,10,21,138,102,14,120,15,True
13,48,45,66,21,98,135,49,20,110,True
72,19,26,49,112,96,14,65,21,94,True
21,93,86,28,100,25,26,15,114,48,False
105,120,25,112,20,93,47,74,19,65,False
123,20,1,69,74,120,9,86,78,94,True
93,82,3,28,21,74,69,26,48,53,False
25,21,31,78,79,13,105,96,48,123,True
94,123,82,47,53,120,45,96,18,49,True
19,110,34,93,59,89,53,29,49,20,False
19,94,13,33,47,26,20,43,73,135,False
96,65,74,94,112,106,33,86,48,49,True
123,26,93,73,49,126,105,94,33,65,True
111,20,93,69,86,49,98,19,21,1,False
76,15,14,86,65,111,66,10,29,123,True
93,86,71,43,14,126,19,51,137,10,False
41,40,21,20,34,111,33,86,93,85,True
82,120,96,21,105,114,5,23,65,10,False
78,26,59,68,93,58,106,123,48,33,False
58,26,89,78,47,29,39,123,33,41,True
106,123,29,10,50,58,26,34,48,21,False
120,66,123,93,38,97,13,48,112,105,False
121,49,126,66,95,35,73,123,20,14,True
93,20,129,40,137,102,39,114,48,58,True
106,74,20,66,98,114,63,14,128,26,False
9,71,93,103,19,82,129,119,27,13,True
9,40,41,43,96,73,106,123,105,102,True
33,95,26,113,78,72,121,49,105,76,True
70,120,86,49,7,106,26,20,123,41,False
80,29,95,105,66,114,79,76,135,48,True
17,19,26,80,93,66,110,138,76,49,False
9,41,26,129,25,80,86,21,91,49,False
53,121,129,93,120,13,138,23,1,94,True
78,100,22,48,40,1,26,60,39,86,True
48,123,137,111,135,65,120,33,129,82,True
55,101,23,40,32,10,87,112,106,21,True
89,62,49,86,97,41,21,96,98,83,False
59,63,45,20,129,93,19,15,58,90,False
105,68,112,49,47,136,20,95,98,120,True
94,90,86,49,45,1,33,55,105,113,False
4,110,13,86,137,106,20,120,9,93,True
17,97,26,21,85,89,33,126,98,103,False
28,26,123,110,41,13,112,86,129,1,True
123,128,93,104,74,113,47,65,41,14,False
98,100,93,65,120,21,29,105,82,113,True
98,26,107,48,121,120,123,80,7,46,False
25,83,21,49,39,97,105,98,26,82,False
112,101,62,69,70,94,20,135,106,53,True
49,58,21,11,100,19,39,43,9,95,False
95,20,26,13,49,123,86,114,76,1,False
4,110,13,86,137,106,20,120,9,93,True
13,5,12,114,98,41,26,25,129,123,False
69,79,105,22,94,120,3,21,18,19,True
129,123,65,93,137,13,90,63,19,96,False
14,45,27,126,44,39,41,22,102,68,False
21,93,86,28,100,25,26,15,114,48,False
20,96,123,74,72,112,26,89,40,22,False
92,20,82,19,65,120,86,123,98,46,False
23,90,20,96,48,97,21,105,88,123,False
59,72,83,57,49,9,45,112,18,106,False
120,119,114,94,33,72,123,40,28,22,True
12,5,53,112,113,69,3,20,49,13,True
19,40,49,90,98,109,79,62,47,23,True
82,23,26,105,46,21,49,45,11,123,True
123,53,41,47,120,94,20,69,26,19,True
46,114,62,113,21,63,98,43,88,5,False
55,126,65,33,114,59,119,20,96,48,True
33,21,41,61,65,26,17,98,27,95,True
93,82,3,28,21,74,69,26,48,53,False
41,49,110,64,120,15,85,94,106,71,True
16,45,106,14,41,137,105,123,71,1,True
94,123,82,47,53,120,45,96,18,49,True
46,66,123,29,18,109,20,26,96,74,True
98,95,51,65,33,72,85,90,97,26,False
94,90,86,49,45,1,33,55,105,113,False
97,86,64,80,76,98,20,93,19,120,True
49,40,129,41,65,13,50,53,26,93,True
47,26,128,21,98,82,13,86,96,85,False
55,39,32,106,33,21,135,48,20,105,True
113,19,39,98,21,1,43,66,74,20,False
17,49,91,53,18,95,62,120,64,33,True
106,121,1,136,13,72,49,60,10,21,False
112,72,10,120,21,41,20,28,64,106,True
4,50,49,21,10,34,86,15,112,41,False
97,86,64,80,76,98,20,93,19,120,True
86,46,105,49,13,19,85,95,112,90,True
48,26,86,126,96,73,123,72,135,13,False
105,114,26,89,65,41,33,49,83,50,False
121,106,9,73,44,123,10,47,49,85,True
20,47,123,48,21,137,80,93,110,26,False
97,112,48,86,13,123,20,120,49,93,True
65,129,58,94,39,46,28,69,20,63,True
49,40,26,15,56,113,53,69,90,123,True
2,138,9,41,43,39,26,29,121,113,True
21,123,41,59,20,106,96,67,85,65,True
69,72,71,8,22,13,49,20,86,41,False
3,41,106,49,65,72,19,14,38,63,True
47,13,10,37,100,20,1,71,21,126,True
9,123,49,78,113,71,58,20,17,93,False
9,41,25,19,33,94,114,86,49,45,True
21,105,49,10,9,17,71,94,97,65,True
18,98,123,73,5,33,74,49,135,65,True
95,49,86,9,74,98,20,48,83,17,True
1,9,137,74,123,28,14,76,45,6,False
17,96,111,18,9,65,25,49,67,2,True
14,17,89,31,91,27,128,136,99,47,False
51,61,47,105,82,89,21,13,129,86,True
129,20,106,102,25,110,19,10,15,76,True
112,33,45,13,89,65,48,59,62,96,False
1,123,112,105,39,20,26,15,49,4,False
98,136,41,120,26,66,129,19,93,17,True
105,78,13,66,94,63,45,69,22,21,True
41,105,3,137,112,19,29,138,123,82,True
72,100,43,91,21,98,26,66,106,95,False
49,20,120,113,71,33,88,46,73,53,True
91,14,114,85,49,98,93,62,26,1,False
41,20,9,97,74,93,13,65,105,129,False
65,19,98,48,40,49,37,32,43,26,True
65,97,5,48,106,93,110,128,123,13,False
15,20,68,67,106,47,92,105,90,54,False
21,93,98,120,121,38,45,48,105,113,True
89,45,74,137,86,48,20,62,106,123,False
74,110,105,49,44,73,26,112,106,55,True
