r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
91,70,60,86,59,10,26,121,39,114,False
20,98,120,72,25,111,103,126,51,63,False
93,129,112,91,30,74,19,97,73,119,True
71,48,36,98,111,29,6,108,126,105,True
119,32,5,7,57,53,14,76,19,15,False
63,48,86,96,43,10,97,136,100,72,True
25,71,102,98,1,13,112,69,20,10,True
50,93,76,96,5,67,14,71,36,113,False
106,40,93,114,27,46,56,83,84,110,True
35,3,104,53,113,25,97,10,70,123,True
26,47,80,83,56,88,110,17,14,102,True
83,10,25,14,26,21,1,100,102,72,False
95,39,126,37,22,44,19,31,97,90,True
2,10,56,81,82,21,14,72,30,135,False
53,59,71,121,114,102,7,123,19,48,True
105,48,85,22,65,53,29,21,45,14,False
98,53,93,13,91,45,47,14,22,73,True
97,14,72,18,10,80,137,119,71,48,False
11,14,31,83,43,1,74,62,25,96,False
61,25,30,45,10,48,121,19,66,128,False
121,10,36,59,111,3,114,14,106,33,False
12,19,15,58,25,3,106,28,105,137,False
112,60,80,67,123,135,14,106,109,71,True
61,48,14,111,128,88,93,10,83,58,True
76,119,92,41,91,6,13,69,83,65,False
51,66,7,53,94,111,56,59,61,123,True
21,14,10,13,44,20,62,68,6,137,False
21,80,26,112,1,22,86,41,92,90,True
63,86,66,106,112,80,113,110,101,1,False
25,19,61,26,105,136,18,58,21,43,False
42,109,74,83,121,10,19,98,65,31,False
120,112,26,14,41,45,1,43,76,114,True
74,71,3,121,48,129,65,5,21,1,True
13,12,129,5,114,73,19,14,35,21,True
10,50,15,66,102,72,96,5,126,93,False
19,97,17,20,114,68,63,101,88,82,False
10,97,32,114,40,45,94,43,86,20,False
19,138,92,26,137,1,43,74,71,66,True
14,44,65,71,112,69,100,53,76,48,True
51,82,109,5,56,14,97,101,57,12,True
16,128,101,41,36,80,85,48,1,126,True
10,47,62,114,26,5,41,11,88,76,False
106,97,2,25,31,74,123,26,47,94,True
114,74,61,58,123,62,104,39,37,67,False
8,27,97,76,17,41,86,69,53,119,True
106,100,15,20,92,53,63,126,47,121,True
27,137,83,39,10,17,71,82,63,43,False
95,110,19,86,39,48,136,17,128,47,False
69,67,52,88,22,82,19,79,28,39,True
62,45,44,101,63,53,23,29,123,46,True
14,31,40,35,82,17,119,26,69,8,True
76,93,14,121,26,65,106,68,114,2,True
55,106,45,21,86,113,98,26,63,110,False
101,80,48,129,119,74,63,123,135,8,True
73,46,20,112,96,103,78,17,22,63,True
9,106,102,48,88,112,97,41,19,63,True
60,17,40,7,69,112,56,93,72,29,False
105,41,101,63,88,102,113,91,53,15,True
60,101,71,10,106,20,92,112,1,96,False
48,26,97,17,9,123,58,19,93,20,True
112,70,22,100,92,43,110,69,93,26,False
69,105,93,22,58,26,48,98,112,96,True
101,41,104,106,20,12,66,105,137,90,True
100,69,113,68,106,51,98,21,90,82,False
56,121,47,51,84,13,21,103,19,43,False
29,83,13,121,82,52,96,93,9,21,False
13,21,8,123,69,82,91,112,14,126,True
82,43,62,71,1,69,74,123,6,110,False
20,123,102,25,41,14,120,75,93,86,True
105,20,46,104,76,58,98,12,80,86,False
39,56,18,110,86,89,112,129,26,106,True
91,105,19,15,129,119,45,23,47,48,False
41,33,92,17,100,63,42,58,65,90,True
137,83,45,93,34,53,21,95,13,19,False
53,82,26,120,48,41,14,25,20,19,False
62,15,91,25,33,43,89,69,110,9,True
90,110,129,105,95,8,98,3,82,91,False
26,98,10,1,7,13,48,20,23,83,False
92,88,34,19,1,22,113,111,8,69,False
6,86,104,107,66,102,106,21,9,1,True
64,46,121,14,8,107,7,137,21,27,False
82,137,126,83,27,9,123,32,51,10,True
100,41,53,97,123,64,48,105,73,55,True
48,28,45,111,88,102,71,59,3,1,False
76,5,96,41,88,91,25,90,21,100,True
21,119,66,98,1,5,97,88,82,44,True
47,71,136,25,76,45,19,21,95,51,True
135,88,26,41,13,97,19,107,21,45,False
53,19,83,107,38,10,128,20,97,98,True
41,112,66,98,106,76,20,108,26,73,False
56,41,80,112,102,21,33,53,39,66,True
13,48,88,33,102,112,78,93,82,71,False
98,10,85,112,101,21,56,19,65,72,True
9,48,28,112,86,41,20,137,76,53,False
135,3,20,112,67,48,72,92,19,86,False
11,136,91,86,23,22,72,112,129,15,False
59,109,43,86,91,114,65,96,112,22,False
66,21,13,73,105,23,53,102,1,65,True
45,98,1,28,105,99,14,63,53,102,True
88,121,67,96,114,100,19,123,71,46,False
19,16,83,74,41,91,1,14,120,60,True
13,88,137,73,21,23,58,67,28,26,True
23,28,83,9,21,10,5,71,98,17,True
28,83,110,21,113,88,43,48,17,53,True
25,26,43,16,79,100,47,65,85,41,True
1,98,40,76,3,19,7,72,41,112,True
58,97,41,114,112,98,71,48,110,137,True
90,79,104,83,56,39,14,91,66,89,False
113,135,112,26,59,39,45,79,136,48,False
102,20,88,66,80,40,22,1,3,17,True
21,53,89,129,26,46,83,20,25,102,False
22,83,113,53,100,14,26,82,10,5,True
65,120,31,26,1,102,19,86,45,38,False
66,55,26,107,8,25,76,121,137,20,True
95,80,68,121,129,39,12,77,86,45,True
98,41,76,20,71,102,19,10,120,45,False
65,20,41,128,55,53,74,48,113,38,False
46,13,31,62,20,86,48,29,61,10,True
21,48,33,58,129,51,94,114,40,26,True
21,90,58,48,135,102,106,20,91,41,False
78,21,83,90,41,10,123,23,135,119,False
43,19,83,25,8,88,54,98,34,62,True
60,100,65,23,10,41,34,112,20,92,True
69,26,54,13,5,56,43,19,119,39,False
138,88,40,137,82,48,26,119,90,38,False
96,66,67,110,17,21,113,63,71,58,False
41,92,110,19,13,97,83,74,21,65,True
1,14,63,65,66,69,110,53,23,93,True
89,126,66,43,7,1,19,14,76,112,False
120,41,83,110,69,10,128,21,66,65,True
92,26,83,41,61,97,113,121,56,48,True
135,84,59,56,65,93,45,40,106,26,True
65,19,48,46,55,97,22,93,26,102,True
78,21,1,26,106,119,40,73,137,126,False
105,27,69,74,77,21,110,96,10,40,True
25,66,53,106,49,41,113,121,69,19,True
26,72,14,98,90,137,53,33,114,17,True
47,19,66,1,21,65,5,10,106,69,True
76,91,95,69,65,25,84,10,26,129,True
57,119,13,65,98,80,25,51,39,112,False
34,46,83,14,88,102,26,21,85,94,True
96,90,53,25,12,69,20,26,13,109,True
34,19,38,58,82,69,48,26,51,112,False
69,86,66,98,82,12,121,91,137,106,False
43,75,46,19,69,15,26,103,14,7,False
76,53,96,25,26,59,109,112,129,19,False
83,105,17,137,10,8,40,123,65,98,True
93,79,19,112,96,28,86,71,114,121,True
28,5,19,112,41,21,22,66,129,45,True
31,96,128,1,76,41,26,110,21,135,False
97,123,101,13,41,105,137,82,110,21,True
19,86,66,110,41,29,53,59,85,10,True
69,26,33,13,12,7,47,110,65,21,True
112,58,86,14,129,33,72,106,95,19,False
70,13,74,77,72,29,40,45,19,93,False
21,70,19,98,25,33,95,45,27,107,True
76,21,100,72,29,64,93,136,121,69,False
93,90,45,17,69,26,13,65,137,82,True
10,123,20,90,78,48,91,13,51,40,True
41,80,112,100,33,129,45,106,63,89,False
21,105,106,69,33,32,26,123,74,113,True
41,20,32,19,64,48,58,63,61,126,True
69,82,26,66,10,70,100,47,114,91,True
12,112,20,88,137,55,106,53,100,10,True
17,45,88,137,114,21,20,100,112,69,False
41,19,66,97,25,47,83,88,69,10,True
46,83,71,86,39,59,19,128,8,33,False
1,105,112,69,29,46,78,123,45,17,True
41,137,27,66,29,10,83,20,106,129,True
1,58,96,62,59,14,90,106,26,64,False
82,19,31,88,97,106,38,26,71,46,True
106,96,105,54,33,18,121,7,120,129,True
97,76,65,83,109,82,20,41,62,55,False
123,80,90,43,100,97,27,5,93,137,False
72,14,93,78,120,97,30,10,47,65,True
71,21,110,119,1,41,86,26,65,102,False
64,74,53,12,88,113,66,65,98,137,True
113,45,74,26,69,97,5,21,66,10,True
119,83,73,69,13,33,7,70,74,3,True
33,112,17,73,65,90,27,18,120,98,False
76,43,136,26,15,97,45,106,41,27,False
96,48,68,19,17,106,100,56,62,52,False
23,88,41,45,82,97,100,26,42,120,True
17,53,29,86,73,97,26,79,59,1,False
41,20,96,76,65,38,128,25,100,19,False
29,53,66,59,15,106,65,26,21,2,False
96,69,80,119,70,26,120,88,114,97,True
29,73,86,5,62,56,106,66,37,7,False
94,21,85,97,90,41,31,19,51,33,False
6,86,53,80,28,49,65,27,69,56,False
69,27,112,97,1,28,88,90,84,82,True
137,40,123,102,73,33,83,98,63,6,True
106,53,129,8,33,73,123,112,29,69,False
113,51,128,106,62,33,66,112,21,25,True
33,86,11,19,67,83,8,26,102,74,False
5,92,18,39,19,96,27,72,61,106,False
65,10,83,97,96,69,29,76,37,26,False
94,27,51,96,90,69,21,101,22,93,True
55,109,72,120,62,88,89,86,110,17,False
69,19,66,114,112,82,45,67,121,14,True
102,72,21,46,112,90,26,71,25,29,False
58,43,88,10,106,98,66,19,120,113,False
8,56,97,21,33,1,26,19,29,59,False
40,13,72,14,73,95,43,85,98,27,False
98,88,65,96,18,93,66,100,33,22,True
53,26,114,65,80,69,112,59,41,110,False
33,10,84,65,59,29,120,58,93,112,False
114,105,51,17,56,33,80,19,58,8,False
29,10,13,58,72,6,123,71,111,14,True
97,76,79,18,112,69,86,120,32,53,True
82,40,97,9,86,33,34,105,19,63,False
66,8,106,33,69,98,27,40,82,80,True
21,3,71,69,95,46,26,105,102,25,False
77,72,112,49,11,57,83,128,39,82,False
29,45,98,48,64,17,101,65,19,41,True
69,71,53,10,137,1,58,119,104,128,True
48,45,19,56,98,70,138,26,80,15,True
83,41,98,19,74,97,123,3,67,112,True
71,72,121,25,102,126,9,10,83,20,False
128,8,65,98,105,114,14,76,123,110,True
114,136,58,25,55,53,26,41,69,97,False
47,121,45,8,129,114,14,26,23,33,True
66,97,105,74,41,114,83,112,19,48,True
93,25,105,60,91,26,19,21,92,41,False
110,129,17,26,48,8,121,39,20,100,False
49,85,19,14,21,106,80,92,53,86,False
82,66,76,27,15,21,105,112,45,69,False
41,47,19,33,25,129,106,31,123,109,True
98,105,74,65,48,46,112,25,91,71,True
123,83,96,18,106,25,104,47,136,101,True
70,66,25,83,21,137,84,112,53,41,False
97,66,112,12,98,65,72,54,123,76,True
69,19,100,41,90,106,62,36,86,48,True
47,27,71,28,25,106,33,65,20,109,False
71,53,82,86,94,14,66,27,114,113,False
106,21,53,56,88,41,79,66,112,76,True
10,50,78,98,14,102,101,71,82,106,False
56,21,113,14,17,123,65,46,97,135,True
69,40,112,19,73,113,66,26,102,90,False
20,100,25,21,17,13,79,40,129,114,True
98,100,83,10,135,25,20,96,89,14,True
40,55,21,41,19,42,123,93,26,120,True
98,90,93,58,62,76,104,66,15,136,True
10,23,69,106,111,76,86,25,5,97,False
90,13,65,20,41,106,98,72,123,93,True
62,20,47,19,41,88,98,66,106,10,True
88,66,69,25,72,14,110,121,106,21,False
12,43,62,55,106,33,26,20,10,13,True
41,20,126,55,62,73,31,137,121,136,True
15,20,120,93,91,10,69,75,40,106,True
86,3,43,4,22,93,72,31,61,25,True
47,100,112,76,63,25,58,67,114,20,True
69,74,48,123,26,60,100,58,21,56,True
14,106,97,94,86,69,66,137,53,48,False
69,15,3,123,98,21,26,106,96,74,True
5,19,43,49,10,83,20,90,25,69,True
