r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,id
17,70,88,39,40,9,85,13,96,4,True,7634721694
49,18,129,26,20,95,47,63,84,88,False,7634717748
114,14,22,54,85,97,106,11,137,84,True,7634704476
13,1,129,53,86,85,126,54,26,78,False,7634701011
21,48,78,123,102,46,29,71,9,128,False,7634686926
86,63,98,76,20,15,14,48,49,5,True,7634684883
63,123,137,37,106,112,15,53,25,59,False,7634675892
61,97,123,35,70,104,48,19,86,84,False,7634670332
63,96,21,51,106,19,95,45,2,64,False,7634655510
44,45,97,86,52,129,112,73,110,18,True,7634653878
89,25,16,110,105,96,22,109,79,14,False,7634648753
104,22,17,73,64,96,5,18,57,86,False,7634637882
54,45,25,19,33,109,105,23,10,35,True,7634634732
128,74,11,109,19,97,21,71,46,15,False,7634633697
52,129,111,72,7,48,100,3,27,126,False,7634626978
120,47,19,72,5,18,79,23,86,90,False,7634619941
17,119,20,129,46,9,19,18,98,27,False,7634615927
2,29,10,5,75,69,1,120,121,84,True,7634602395
6,135,121,20,40,19,93,101,71,91,False,7634596839
23,84,86,2,48,34,68,109,19,49,False,7634595813
23,48,26,96,91,44,49,109,45,22,True,7634572935
5,109,2,34,87,86,71,95,39,114,False,7634571546
105,23,109,137,65,96,19,90,20,10,False,7634569727
57,102,72,60,10,84,5,48,86,52,False,7634567897
60,106,65,138,105,79,129,13,25,83,False,7634566157
25,57,19,45,52,106,18,71,20,64,True,7634547062
86,46,20,54,104,14,123,9,76,89,False,7634540895
26,13,78,95,98,19,17,5,86,48,False,7634532857
87,27,96,19,10,5,84,44,113,2,True,7634529770
114,25,26,86,96,53,14,84,39,52,False,7634504675
20,114,7,86,129,5,48,119,11,104,True,7634467582
79,38,48,11,102,123,60,25,114,5,False,7634445033
54,120,19,52,5,25,1,103,105,137,True,7634430205
123,108,54,25,5,14,38,58,48,11,False,7634423655
95,13,137,19,5,106,109,105,70,28,True,7634400584
129,48,86,39,20,69,40,74,137,6,False,7634398247
98,48,56,5,25,21,54,86,17,121,True,7634374514
121,43,137,18,109,110,17,49,10,26,True,7634370016
15,93,123,137,9,49,46,79,69,86,True,7634348504
49,129,15,121,84,120,43,56,8,5,True,7634335881
110,106,137,41,45,5,17,129,89,19,False,7634335389
1,74,129,123,111,137,10,105,28,9,False,7634315999
23,79,46,98,20,11,49,48,26,84,True,7634299357
8,90,23,79,105,10,49,19,43,20,True,7634264175
48,135,19,5,25,46,9,79,98,20,False,7634260469
14,8,23,13,22,19,49,129,54,72,False,7634258106
10,79,135,34,40,48,98,19,64,22,False,7634204664
109,120,97,21,58,44,86,20,114,49,True,7634182620
15,45,81,58,10,5,90,82,109,73,False,7634171586
82,137,105,19,15,29,109,53,114,106,True,7634117065
74,94,105,5,38,10,55,98,45,19,False,7634079912
65,13,129,18,121,97,48,63,106,86,True,7634058433
15,5,7,73,58,109,19,98,47,1,False,7634029055
94,29,17,66,27,62,69,137,18,65,True,7634024715
94,126,119,5,69,93,137,26,66,55,False,7633976542
97,65,78,40,70,48,110,129,13,86,False,7633956736
70,23,96,123,31,54,29,79,36,9,False,7633956117
52,36,137,19,41,4,76,37,129,123,True,7633949881
7,55,52,3,44,10,78,13,109,65,False,7633941390
123,48,96,109,25,121,95,120,9,49,True,7633890372
48,29,19,76,5,52,96,93,53,90,True,7633877966
112,120,37,23,1,79,106,28,20,73,True,7633856539
18,137,5,27,98,94,82,65,23,72,True,7633814106
48,86,35,85,129,64,54,55,19,13,False,7633793219
109,48,86,114,29,19,106,10,69,9,False,7633732214
28,37,123,51,43,74,26,90,14,52,True,7633731105
44,137,110,26,69,18,126,79,9,97,True,7633719235
120,54,98,79,9,103,48,38,86,22,False,7633690587
65,105,74,73,95,96,109,37,20,93,False,7633632178
41,22,9,26,49,1,79,90,19,97,False,7633614768
15,49,19,45,13,48,9,112,107,123,False,7633604736
52,123,54,126,33,10,13,86,96,5,True,7633588854
85,10,2,27,43,137,19,72,69,121,False,7633546718
21,69,11,100,18,56,84,112,15,123,False,7633490578
136,109,104,48,83,105,120,93,52,69,False,7633470161
41,13,53,123,129,18,96,23,66,79,False,7633459628
93,120,69,123,5,53,86,18,137,96,False,7633444460
9,38,23,10,79,91,96,121,73,22,True,7633413862
23,47,79,100,10,109,62,21,49,61,True,7633400081
72,126,5,9,38,95,96,13,3,114,False,7633391901
53,46,14,79,68,90,45,20,71,10,False,7633378247
54,76,69,86,65,41,23,15,110,123,True,7633373742
28,5,2,69,25,54,123,39,98,87,True,7633369014
52,3,135,71,63,76,28,18,91,26,True,7633366106
103,27,113,120,98,109,13,57,72,79,False,7633361741
109,57,18,105,25,9,95,96,123,10,True,7633327598
112,72,23,85,105,9,64,2,48,40,True,7633324811
23,48,129,26,22,97,123,14,29,63,True,7633318387
21,120,123,137,5,86,109,14,106,114,False,7633317664
19,61,52,94,79,72,74,105,89,33,True,7633310634
25,47,38,65,5,15,23,29,123,27,False,7633309920
18,55,106,87,105,72,13,9,123,49,False,7633306521
31,13,10,110,137,48,90,15,66,19,False,7633305505
82,71,121,31,70,5,63,28,58,114,True,7633282832
