r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,id
10,104,101,119,22,72,64,2,106,26,True,7614697392
13,5,49,1,33,31,43,112,70,60,False,7614696444
10,39,104,84,19,71,48,14,52,5,True,7614694986
11,46,27,84,42,56,113,45,19,49,True,7614692976
36,74,110,72,2,18,27,11,104,84,True,7614661131
46,21,14,26,98,120,84,70,86,69,False,7614613764
120,49,64,86,89,46,14,94,74,104,True,7614582427
20,73,15,137,123,54,72,96,106,66,True,7614573424
14,1,56,97,11,15,62,109,120,79,True,7614555870
40,14,25,86,54,7,85,22,67,72,False,7614521237
63,83,19,137,9,4,13,96,105,123,True,7614515782
19,42,71,5,74,86,60,54,14,36,True,7614477157
135,50,19,121,18,4,137,49,86,5,True,7614470893
86,8,26,78,25,31,84,72,2,11,True,7614438745
97,90,73,123,20,10,23,49,86,5,False,7614408425
84,98,54,26,13,21,9,48,49,106,True,7614393025
10,49,100,98,86,48,90,112,19,5,False,7614352142
21,48,49,106,9,84,69,6,25,26,True,7614346104
41,17,13,100,66,48,23,129,65,105,True,7614280981
120,40,129,62,10,9,8,19,79,97,True,7613983884
49,23,41,27,40,9,21,79,90,97,True,7613846193
78,21,37,123,19,16,98,86,136,11,True,7613821026
1,55,13,7,20,66,93,23,27,96,False,7613746595
32,45,43,20,84,95,123,112,9,19,False,7613739444
23,26,137,48,123,10,53,58,106,49,True,7613710092
96,41,5,105,21,97,49,95,65,58,True,7613616538
91,49,136,135,114,53,26,14,93,106,False,7613602447
41,19,30,13,33,72,93,135,65,59,False,7613598339
21,33,138,100,17,123,95,97,79,36,True,7613535393
14,109,49,26,13,44,121,76,96,5,True,7613532296
96,10,86,28,105,120,1,27,78,65,True,7613529852
85,48,69,9,49,129,46,58,72,123,False,7613494811
5,76,112,18,96,20,46,63,57,71,False,7613476131
52,86,45,100,63,128,21,29,90,88,True,7613443072
12,36,69,105,121,123,86,97,18,13,False,7613441557
55,85,19,13,93,59,129,89,52,65,False,7613436713
86,84,88,70,121,5,106,54,19,119,False,7613422607
19,129,72,42,20,106,119,104,26,8,True,7613405594
72,111,78,61,50,93,83,29,88,25,True,7613405450
123,33,93,19,47,72,84,49,21,137,True,7613383836
114,48,5,106,21,109,2,10,100,88,False,7613379671
39,28,45,31,11,74,14,19,21,22,True,7613374285
21,17,27,96,69,106,49,48,14,3,False,7613367467
65,23,129,100,109,71,36,96,123,70,False,7613360576
21,35,86,84,10,71,95,26,76,5,True,7613335494
84,26,25,20,102,86,21,104,17,48,False,7613332277
49,28,26,48,102,42,71,123,106,105,False,7613324367
10,96,71,138,137,21,14,69,22,86,False,7613309151
123,109,29,1,74,22,15,129,48,51,True,7613291148
2,1,121,84,120,71,8,86,106,5,False,7613290953
44,57,7,27,64,52,103,21,4,123,True,7613290824
15,100,22,35,16,70,84,14,11,5,False,7613284352
22,71,101,93,19,72,23,121,3,135,False,7613259163
23,10,19,21,84,107,46,121,83,2,False,7613249411
76,86,48,84,87,128,96,21,126,41,False,7613241182
109,23,112,121,19,123,43,84,126,48,False,7613240917
18,96,71,9,39,106,129,45,72,7,True,7613219053
97,5,70,19,55,71,23,80,85,7,True,7613208546
35,6,2,121,40,34,46,105,49,84,False,7613206177
23,26,6,71,64,46,29,21,123,126,False,7613188010
129,49,95,112,105,90,123,96,20,48,False,7613169974
6,60,21,114,5,10,2,71,75,50,False,7613167692
129,3,74,7,25,29,73,48,14,27,True,7613163035
10,97,20,123,106,128,48,49,26,22,True,7613162919
